method,payload_bytes,payload_sha256,decode_success,decoded_sha256,decoded_bytes,changed_pixels,changed_pixels_percent,changed_channels,changed_channels_percent,mse,psnr,ssim,max_difference
sequential,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,148574,347294,8.215947114219961,595281,4.6941949415576545,0.04694194941557655,61.415192397542874,0.9993904577397942,1.0
random,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,148574,566313,13.397287767986917,593676,4.681538426598837,0.04681538426598837,61.4269176839386,0.9995843668282385,1.0
adaptive,148574,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,148574,346638,8.200428097747094,595193,4.693501001796673,0.04693501001796673,61.41583445968748,0.9999496894536964,1.0
