container,method,rate,mean_r_m,mean_s_m,mean_r_neg_m,mean_s_neg_m,gap_m,gap_neg_m,gap_ratio,r_difference,s_difference,r_gap_m,g_gap_m,b_gap_m,r_gap_neg_m,g_gap_neg_m,b_gap_neg_m
smooth_light,sequential,15,0.6080249717377261,0.3919750282622739,0.6420560930434432,0.3579234041908914,0.21604994347545217,0.28413268885255166,0.760383975346003,-0.03403112130571717,0.03405162407138246,0.21764285065406977,0.21099427688953487,0.21951270288275193,0.2915133690649225,0.2744538063226744,0.28643089117005816
smooth_light,random,15,0.6077108062822997,0.39228919371770027,0.6410848928052326,0.3588952352834302,0.2154216125645995,0.28218965752180236,0.7633930118362177,-0.033374086522932944,0.033393958434270066,0.21786238796027133,0.21026564014050386,0.21813680959302326,0.2892252604166667,0.27317064861918605,0.28417306352955424
smooth_light,adaptive,15,0.6103900446140181,0.3896099553859819,0.6403903221899224,0.3595989532864987,0.22078008922803616,0.28079136890342377,0.7862780472571147,-0.03000027757590429,0.03001100209948321,0.22542696220930233,0.20558722444282945,0.23132608103197674,0.28651511022286824,0.27888051114341084,0.2769784853439923
smooth_light,sequential,35,0.5799122103116926,0.4200877896883075,0.6649087910812338,0.3350694444444445,0.159824420623385,0.32983934663678943,0.484552319949201,-0.0849965807695412,0.08501834524386304,0.1601978863856589,0.15710354590600775,0.16217182957848839,0.3362346323885659,0.3197825823643411,0.33350082515746127
smooth_light,random,35,0.5801680217417636,0.4198319782582365,0.6631515463501292,0.3368304743015181,0.16033604348352712,0.3263210720486111,0.4913444371733442,-0.08298352460836556,0.0830015039567184,0.16194472202034885,0.15764860404554262,0.1614148043846899,0.33318192829457366,0.3164592417635659,0.3293220460876938
smooth_light,adaptive,35,0.5851908839026163,0.41480911609738375,0.662353831052164,0.33763449814276486,0.17038176780523254,0.3247193329093992,0.5247047235489708,-0.07716294714954774,0.07717461795461888,0.17593265503875968,0.1500045421511628,0.1852081062257752,0.3295065709786822,0.3274720657703488,0.3171793619791667
smooth_light,sequential,60,0.5472935718467378,0.45270642815326223,0.6918191441577842,0.3081616147852067,0.09458714369347547,0.3836575293725775,0.24654056404981953,-0.14452557231104646,0.14454481336805552,0.09527162063953488,0.09238167696220931,0.09610813347868218,0.38963329699612403,0.37395152010658916,0.38738777101501937
smooth_light,random,60,0.5479789950742894,0.45202100492571057,0.6899133332323967,0.3100702645550711,0.09595799014857881,0.3798430686773256,0.252625355209771,-0.1419343381581073,0.14195074037063948,0.0960911004118217,0.09554036458333333,0.0962425054505814,0.3871180807897287,0.3688434926114341,0.38356763263081395
smooth_light,adaptive,60,0.5529198461724806,0.44708015382751937,0.6907744493903424,0.3092126180959302,0.10583969234496123,0.3815618312944122,0.27738542921316356,-0.1378546032178618,0.13786753573158916,0.11279864643895349,0.0823245972625969,0.12239583333333333,0.3845763687015504,0.3872600230135659,0.3728491021681202
smooth_light,sequential,85,0.5167731548772609,0.48322684512273906,0.7178153893128231,0.28217672500807495,0.03354630975452196,0.43563866430474807,0.0770048953484415,-0.20104223443556213,0.2010501201146641,0.03463768774224806,0.03402449733527132,0.03197674418604651,0.44202133296996127,0.42389814983042634,0.4409965101138566
smooth_light,random,85,0.5177295300387598,0.48227046996124034,0.71656819030604,0.28342045431605295,0.03545906007751937,0.43314773598998707,0.08186366251338105,-0.19883866026728025,0.1988500156451874,0.03586785368217054,0.03561425024224806,0.03489507630813953,0.4395363977713178,0.42259228137112403,0.43731452882751937
smooth_light,adaptive,85,0.5213976325298773,0.47860236747012275,0.7164931186409884,0.28349552598110467,0.04279526505975453,0.4329975926598837,0.09883487988204563,-0.19509548611111116,0.19510684148901808,0.04529281734496124,0.03235714934593023,0.050735828488372096,0.43869799236918605,0.42805043301841084,0.43224435259205424
smooth_dark,sequential,15,0.6519687071019057,0.34803129289809437,0.6587813029917635,0.2600873607073643,0.3039374142038114,0.3986939422843992,0.7623326616460216,-0.006812595889857831,0.08794393219073005,0.31345195918120156,0.29826603379360467,0.3000942496366279,0.4087746790213178,0.3941224563953488,0.393184691436531
smooth_dark,random,15,0.6439527565810724,0.35604724341892763,0.6581406704215116,0.2572087724079457,0.2879055131621447,0.4009318980135659,0.7180908143966215,-0.01418791384043916,0.09883847101098192,0.29673305777616277,0.28241392623546513,0.2845695554748062,0.4110088496245155,0.3961967054263566,0.3955901389898256
smooth_dark,adaptive,15,0.6494856644662468,0.3505143355337532,0.6546451065891473,0.2530236847948966,0.2989713289324935,0.40162142179425064,0.7444108125429015,-0.005159442122900537,0.0974906507388566,0.31145530523255816,0.2883206153100775,0.29713806625484496,0.4107997214147287,0.399177492126938,0.39488705184108525
smooth_dark,sequential,35,0.6171272534116602,0.38287274658833975,0.6912141548570737,0.2395013222706718,0.2342545068233204,0.4517128325864019,0.5185916580718639,-0.07408690144541352,0.14337142431766794,0.24124121850775193,0.2296871214874031,0.2318351804748062,0.4618648558624031,0.4468161412911822,0.4464575006056202
smooth_dark,random,35,0.6027327347787468,0.3972672652212532,0.6907744493903424,0.23450842569040697,0.20546546955749354,0.4562660236999354,0.4503194603256684,-0.0880417146115956,0.16275883953084624,0.21184403766957363,0.2020008175872093,0.20255155341569767,0.46704385446947677,0.45139141230620156,0.4503628043241279
smooth_dark,adaptive,35,0.6036212930999677,0.39637870690003235,0.6867117475169574,0.22068735364179584,0.2072425861999354,0.46602439387516154,0.4447033007792538,-0.0830904544169897,0.1756913532582365,0.21868943798449614,0.19466524345930233,0.20837307715600775,0.4741617838541667,0.4656991884689923,0.4582122093023256
smooth_dark,sequential,60,0.5723135699289406,0.42768643007105944,0.7244018239260335,0.21056876564518734,0.14462713985788114,0.5138330582808462,0.2814671760158182,-0.15208825399709291,0.2171176644258721,0.1502505753391473,0.14117762839147288,0.14245321584302326,0.524177492126938,0.5088089344113372,0.5085127483042635
smooth_dark,random,60,0.5576332742853682,0.44236672571463176,0.7288171733688631,0.2076450712613049,0.11526654857073643,0.5211721021075583,0.22116791766982952,-0.17118389908349485,0.23472165445332685,0.11816027737403101,0.11380359738372094,0.11383577095445736,0.5313815331274225,0.5157716736312985,0.5163630995639535
smooth_dark,adaptive,60,0.5543011017239987,0.4456988982760013,0.7212052850452196,0.18688712502018734,0.10860220344799743,0.5343181600250323,0.203253813126826,-0.16690418332122092,0.25881177325581395,0.11965729469476744,0.09855521741763566,0.10759409823158915,0.5406162942102714,0.5333772407945736,0.5289609450702519
smooth_dark,sequential,85,0.5263933679546189,0.4736066320453811,0.761390705749354,0.18114067294492894,0.05278673590923772,0.580250032804425,0.09097239625151327,-0.23499733779473508,0.29246595910045214,0.055930913880813955,0.051559093386627904,0.05087020046027132,0.590469242066376,0.5752520893895349,0.5750287669573644
smooth_dark,random,85,0.5193930929021318,0.48060690709786824,0.7652480645389211,0.18104541394137597,0.038786185804263566,0.5842026505975452,0.06639166351708872,-0.24585497163678938,0.2995614931564923,0.03992550872093023,0.03895462390988372,0.037478424781976744,0.5942089465237403,0.5789123062015504,0.579486699067345
smooth_dark,adaptive,85,0.5179698855377907,0.4820301144622093,0.7490452019743218,0.16640643925629844,0.03593977107558139,0.5826387627180233,0.0616844833802707,-0.23107531643653112,0.31562367520591084,0.037516276041666664,0.03519977894864341,0.03510325823643411,0.5917656477107558,0.5775174872819767,0.5786331531613372
texture_nature,sequential,15,0.5516884185239018,0.4483115814760981,0.569144788638566,0.4173255940124354,0.10337683704780361,0.15181919462613047,0.6809207314159393,-0.017456370114664166,0.030985987463662712,0.10048184653585271,0.1025409550629845,0.10710770954457365,0.15087890625,0.15239201035610464,0.15218666727228683
