method,model,mae,median_absolute_error,max_absolute_error
sequential,ridge,5.765299201630795,4.190742746304791,14.420040182259058
sequential,random_forest,6.503549206349211,6.209099206349217,18.917269841269842
random,ridge,4.416239951474856,4.214682325638734,10.88071851008307
random,random_forest,5.936236111111113,4.616039682539682,23.001190476190473
adaptive,ridge,7.115503864540453,7.15871398154891,15.0
adaptive,random_forest,9.499497817460316,7.752672619047626,28.774357142857134
