method,compression,original_payload_bytes,embedded_payload_bytes,compression_ratio,compression_saving_percent,payload_sha256,decode_success,decoded_sha256,changed_pixels,changed_pixels_percent,changed_channels,changed_channels_percent,mse,psnr,ssim,ssim_loss,max_difference
sequential,raw,148574,148574,1.0,0.0,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,347294,8.215947114219961,595281,4.6941949415576545,0.04694194941557655,61.415192397542874,0.9993904577397942,0.0006095422602058198,1.0
sequential,zlib,148574,53408,0.3594707014686284,64.05292985313716,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,124374,2.9423203579215116,212910,1.678939937621124,0.01678939937621124,65.8804520089799,0.9997887842653785,0.0002112157346214616,1.0
random,raw,148574,148574,1.0,0.0,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,566313,13.397287767986917,593676,4.681538426598837,0.04681538426598837,61.4269176839386,0.9995843668282385,0.00041563317176152026,1.0
random,zlib,148574,53408,0.3594707014686284,64.05292985313716,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,210062,4.96944457061531,213550,1.6839867722464472,0.01683986772246447,65.86741685083696,0.9998505463504413,0.0001494536495586507,1.0
adaptive,raw,148574,148574,1.0,0.0,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,346638,8.200428097747094,595193,4.693501001796673,0.04693501001796673,61.41583445968748,0.9999496894536964,5.03105463035558e-05,1.0
adaptive,zlib,148574,53408,0.3594707014686284,64.05292985313716,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,124696,2.9499379239341086,213694,1.6851223100371446,0.016851223100371446,65.86448932428249,0.9999880868422683,1.1913157731746615e-05,1.0
