container,method,width,height,pixels,payload_bytes,capacity_used_percent,payload_sha256,decode_success,decoded_sha256,changed_pixels,changed_pixels_percent,changed_channels,changed_channels_percent,mse,psnr,ssim,ssim_loss,max_difference
smooth_light,sequential,2752,1536,4227072,148574,9.373107437015504,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,347944,8.231324188468992,596632,4.704848494024548,0.04704848494024548,61.405347180713775,0.9992710971324877,0.00072890286751226,1.0
smooth_light,random,2752,1536,4227072,148574,9.373107437015504,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,567919,13.43528096990068,595250,4.693950485505491,0.04693950485505491,61.41541856769622,0.9992620620050222,0.0007379379949777887,1.0
smooth_light,adaptive,2752,1536,4227072,148574,9.373107437015504,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,347170,8.213013641593992,595507,4.695977105034722,0.046959771050347224,61.41354390000865,0.9993564695550083,0.0006435304449916579,1.0
smooth_dark,sequential,2752,1536,4227072,148574,9.373107437015504,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,342834,8.110436727834303,582365,4.592343510275356,0.045923435102753554,61.510459947538266,0.9991182390889549,0.0008817609110450819,1.0
smooth_dark,random,2752,1536,4227072,148574,9.373107437015504,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,560599,13.262111456819284,587551,4.633238642098676,0.046332386420986756,61.47195691081879,0.9992290892280554,0.0007709107719445774,1.0
smooth_dark,adaptive,2752,1536,4227072,148574,9.373107437015504,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,347101,8.211381306019865,593897,4.683281161680394,0.04683281161680394,61.425301293508554,0.9994688098117327,0.0005311901882673054,1.0
texture_nature,sequential,2752,1536,4227072,148574,9.373107437015504,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,346659,8.200924895530523,593473,4.679937633741118,0.04679937633741118,61.42840295294334,0.9994230159880247,0.0005769840119752567,1.0
texture_nature,random,2752,1536,4227072,148574,9.373107437015504,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,565542,13.379048192223838,592789,4.674543829235303,0.04674543829235304,61.433411247207886,0.9997221152053237,0.00027788479467627525,1.0
texture_nature,adaptive,2752,1536,4227072,148574,9.373107437015504,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,346538,8.198062394016473,593183,4.677650786801518,0.04677650786801518,61.430525647342705,0.9999785637222166,2.1436277783393187e-05,1.0
photo_mixed,sequential,2752,1536,4227072,148574,9.373107437015504,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,True,c8f5de222fcf1804197e97b0df02d30d25ab70715fcf93bb8d61c0f7b2c13acb,347294,8.215947114219961,595281,4.6941949415576545,0.04694194941557655,61.415192397542874,0.9993904577397942,0.0006095422602058198,1.0
