method,model,mae,median_absolute_error,max_absolute_error
sequential,ridge,21.40487089176847,13.957109522753356,85.0
sequential,elastic_net,21.19731041814408,13.71522681816132,84.95144212467642
random,ridge,19.531706922703542,8.72736893645521,85.0
random,elastic_net,19.27044201366284,8.600018427425127,85.0
adaptive,ridge,14.308919837974742,7.709437308686903,85.0
adaptive,elastic_net,14.570270535500379,8.495870495008809,85.0
