container,method,rate,rs_r_m,rs_s_m,rs_r_neg_m,rs_s_neg_m,rs_gap_m,rs_gap_neg_m,rs_gap_ratio,rs_r_gap,rs_g_gap,rs_b_gap,lsb_one_ratio,lsb_entropy,chi_square_normalized,spatial_agreement,r_chi_square_normalized,g_chi_square_normalized,b_chi_square_normalized,r_lsb_one_ratio,g_lsb_one_ratio,b_lsb_one_ratio
smooth_light,sequential,15,0.6080249717377261,0.3919750282622739,0.6420560930434432,0.3579234041908914,0.21604994347545217,0.28413268885255166,0.760383975346003,0.21764285065406977,0.21099427688953487,0.21951270288275193,0.5074563827317506,0.9998395731644967,557.6650048604904,0.5065943975259305,274.5765651117898,299.7830592392965,786.5008568499453,0.4985287688499273,0.5131483447644137,0.5106920345809108
smooth_light,random,15,0.6077108062822997,0.39228919371770027,0.6410848928052326,0.3588952352834302,0.2154216125645995,0.28218965752180236,0.7633930118362177,0.21786238796027133,0.21026564014050386,0.21813680959302326,0.5076267922571464,0.9998321562356467,548.6414807369264,0.5048740024759684,281.8210249257527,270.5927685272659,717.273210524674,0.4999850960664971,0.5127778755601986,0.5101174051447432
smooth_light,adaptive,15,0.6103900446140181,0.3896099553859819,0.6403903221899224,0.3595989532864987,0.22078008922803616,0.28079136890342377,0.7862780472571147,0.22542696220930233,0.20558722444282945,0.23132608103197674,0.5080334567284399,0.9998137792211002,668.7055498210268,0.5062895708514779,334.3242455983572,317.90363519527114,832.2777582883771,0.4997172984041909,0.5140927336936774,0.5102903380874515
smooth_light,sequential,35,0.5799122103116926,0.4200877896883075,0.6649087910812338,0.3350694444444445,0.159824420623385,0.32983934663678943,0.484552319949201,0.1601978863856589,0.15710354590600775,0.16217182957848839,0.5066191601814841,0.9998735778992905,282.48219703109135,0.505249927097481,175.79894755470443,173.4234385356455,447.4544021546368,0.4991175925084787,0.5106612804324128,0.510078607603561
smooth_light,random,35,0.5801680217417636,0.4198319782582365,0.6631515463501292,0.3368304743015181,0.16033604348352712,0.3263210720486111,0.4913444371733442,0.16194472202034885,0.15764860404554262,0.1614148043846899,0.5058724652273094,0.9999004925888582,317.0150069718989,0.502625183901556,164.03755430134228,159.31623329172942,411.75106568694406,0.5001081126604894,0.5097826580668605,0.5077266249545785
smooth_light,adaptive,35,0.5851908839026163,0.41480911609738375,0.662353831052164,0.33763449814276486,0.17038176780523254,0.3247193329093992,0.5247047235489708,0.17593265503875968,0.1500045421511628,0.1852081062257752,0.5063139844002341,0.9998849668302914,540.5528250445382,0.5050882353582363,258.9881160595758,243.28605112397622,618.7323466621745,0.5001251457273498,0.5111126567042151,0.5077041507691376
smooth_light,sequential,60,0.5472935718467378,0.45270642815326223,0.6918191441577842,0.3081616147852067,0.09458714369347547,0.3836575293725775,0.24654056404981953,0.09527162063953488,0.09238167696220931,0.09610813347868218,0.5035214288598191,0.9999642195364018,91.55715701259847,0.5028745422244433,82.48281429599136,94.34641300998257,166.00787872839683,0.500221193298813,0.5055989110192587,0.5047441822613856
smooth_light,random,60,0.5479789950742894,0.45202100492571057,0.6899133332323967,0.3100702645550711,0.09595799014857881,0.3798430686773256,0.252625355209771,0.0960911004118217,0.09554036458333333,0.0962425054505814,0.5036527254168686,0.9999615016203554,120.79244911573993,0.5009538052626598,64.73448985601397,63.21836973046123,156.21153097152592,0.49997421382933627,0.5060396416242733,0.5049443207969961
smooth_light,adaptive,60,0.5529198461724806,0.44708015382751937,0.6907744493903424,0.3092126180959302,0.10583969234496123,0.3815618312944122,0.27738542921316356,0.11279864643895349,0.0823245972625969,0.12239583333333333,0.5040445648114502,0.9999527988185543,371.27422479482453,0.5035496878157034,173.18978964745986,157.9889335772888,404.9776319792099,0.49994984708091084,0.5070486142653827,0.5051352330880572
smooth_light,sequential,85,0.5167731548772609,0.48322684512273906,0.7178153893128231,0.28217672500807495,0.03354630975452196,0.43563866430474807,0.0770048953484415,0.03463768774224806,0.03402449733527132,0.03197674418604651,0.5007606526061854,0.9999983305346203,26.333567757195755,0.5008390427517669,23.71133855950582,28.62065658434404,59.48460426744979,0.5000643471414729,0.5019081766291182,0.5003094340479651
smooth_light,random,85,0.5177295300387598,0.48227046996124034,0.71656819030604,0.28342045431605295,0.03545906007751937,0.43314773598998707,0.08186366251338105,0.03586785368217054,0.03561425024224806,0.03489507630813953,0.5012376573350694,0.9999955801674267,17.010306607738514,0.5003499159116489,9.378113821934404,9.290600535349098,21.377432231516355,0.4999936125999273,0.5024295777313469,0.5012897816739341
