container,method,true_rate,estimated_rate,absolute_error,rs_gap
smooth_light,sequential,15,0.0,15.0,0.21604994347545217
smooth_light,random,15,0.0,15.0,0.2154216125645995
smooth_light,adaptive,15,0.0,15.0,0.22078008922803616
smooth_light,sequential,35,5.755449697095231,29.24455030290477,0.159824420623385
smooth_light,random,35,7.215522468503685,27.784477531496314,0.16033604348352712
smooth_light,adaptive,35,8.024529128339974,26.975470871660026,0.17038176780523254
smooth_light,sequential,60,51.31113813435895,8.688861865641051,0.09458714369347547
smooth_light,random,60,42.450761220216194,17.549238779783806,0.09595799014857881
smooth_light,adaptive,60,57.814239009460216,2.1857609905397837,0.10583969234496123
smooth_light,sequential,85,83.80401325914526,1.1959867408547353,0.03354630975452196
smooth_light,random,85,77.72992530345472,7.270074696545279,0.03545906007751937
smooth_light,adaptive,85,84.58626220691608,0.413737793083925,0.04279526505975453
smooth_dark,sequential,15,0.0,15.0,0.3039374142038114
smooth_dark,random,15,0.0,15.0,0.2879055131621447
smooth_dark,adaptive,15,0.0,15.0,0.2989713289324935
smooth_dark,sequential,35,0.0,35.0,0.2342545068233204
smooth_dark,random,35,0.0,35.0,0.20546546955749354
smooth_dark,adaptive,35,0.0,35.0,0.2072425861999354
smooth_dark,sequential,60,12.36987988912843,47.63012011087157,0.14462713985788114
smooth_dark,random,60,31.6242430245062,28.3757569754938,0.11526654857073643
smooth_dark,adaptive,60,56.545051938415874,3.454948061584126,0.10860220344799743
smooth_dark,sequential,85,74.73416665488328,10.265833345116718,0.05278673590923772
smooth_dark,random,85,75.6781045751634,9.321895424836597,0.038786185804263566
smooth_dark,adaptive,85,87.14959664103411,2.1495966410341083,0.03593977107558139
texture_nature,sequential,15,42.613143748916265,27.613143748916265,0.10337683704780361
texture_nature,random,15,34.97014545248742,19.970145452487422,0.10929929748062013
texture_nature,adaptive,15,46.848811433308704,31.848811433308704,0.12726035105781652
texture_nature,sequential,35,63.6013348227542,28.601334822754197,0.07265423126614988
texture_nature,random,35,49.97594657309412,14.97594657309412,0.08253719517118863
texture_nature,adaptive,35,53.87248423298089,18.872484232980888,0.11441931120801034
texture_nature,sequential,60,76.40819225760625,16.408192257606245,0.04931072856104651
texture_nature,random,60,69.65102678373135,9.651026783731353,0.04900224079457365
texture_nature,adaptive,60,67.03272815804118,7.032728158041181,0.08577473958333333
texture_nature,sequential,85,85.82396116964603,0.8239611696460258,0.02924072896479328
texture_nature,random,85,88.65118269530035,3.6511826953003492,0.01774971737726098
texture_nature,adaptive,85,85.94801151106289,0.9480115110628873,0.039153343023255814
photo_mixed,sequential,15,16.03572528487836,1.0357252848783602,0.13711808078972867
photo_mixed,random,15,15.293482418052161,0.2934824180521609,0.14522582061531006
photo_mixed,adaptive,15,14.06364815215042,0.9363518478495791,0.16636511829780362
photo_mixed,sequential,35,35.23640252008556,0.23640252008556217,0.10981785973837209
photo_mixed,random,35,35.32493349934914,0.32493349934914306,0.10866655058947028
photo_mixed,adaptive,35,32.255753599942345,2.744246400057655,0.14769309189276483
photo_mixed,sequential,60,57.7858768965371,2.214123103462903,0.08303241581879844
photo_mixed,random,60,60.14939074043914,0.14939074043913791,0.06519627139857881
photo_mixed,adaptive,60,59.32253988128362,0.6774601187163825,0.10255672642118863
photo_mixed,sequential,85,84.86000947081804,0.13999052918195787,0.031295421511627904
photo_mixed,random,85,84.49929971988796,0.5007002801120422,0.02448219476744186
photo_mixed,adaptive,85,84.45440392508374,0.5455960749162614,0.04314791262919896
graphics,sequential,15,0.0,15.0,0.3051265746124031
graphics,random,15,0.0,15.0,0.2933750201873385
graphics,adaptive,15,0.0,15.0,0.32992482739825585
graphics,sequential,35,0.0,35.0,0.23034888767764858
graphics,random,35,0.0,35.0,0.21171660509528425
graphics,adaptive,35,0.0,35.0,0.2581008004279716
graphics,sequential,60,17.06436710809979,42.93563289190021,0.13501102733365633
graphics,random,60,28.881091176637053,31.118908823362947,0.1201588238856589
graphics,adaptive,60,19.24816295655932,40.75183704344068,0.16232954316052972
graphics,sequential,85,76.29483840416717,8.705161595832834,0.04955234576873385
graphics,random,85,74.34780355635836,10.652196443641643,0.04099733022448321
graphics,adaptive,85,78.01929518328065,6.980704816719353,0.06035824955587855
